2026-03-05 20:48:28 | INFO    | app.openai_embeddings        | Initializing AsyncAzureOpenAI (endpoint=https://openai-angels.openai.azure.com, deployment=text-embedding-3-large, Entra ID)
2026-03-05 20:48:34 | INFO    | app.openai_embeddings        | embed_text OK (5735 ms) — 3072-d vector
2026-03-05 20:48:34 | INFO    | app.upload                   |   [shaun-wadham-49o-egElUys-unsplash.jpg] Text vector   OK — 3072-d
2026-03-05 20:48:35 | INFO    | app.upload                   |   [shaun-wadham-49o-egElUys-unsplash.jpg] ✓ Indexed OK (17862 ms total)
2026-03-05 20:48:35 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] id=587fd7cb495548c5af5b5c8d0894b01a  size=935086 bytes  type=image/jpeg
2026-03-05 20:48:35 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Thumbnail OK — 13730 bytes, 4000x2666
2026-03-05 20:48:35 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Starting parallel tasks (blob × 2, analyze, vectorize)…
2026-03-05 20:48:35 | INFO    | app.blob_storage             | upload_blob: originals/587fd7cb495548c5af5b5c8d0894b01a.jpg  935086 bytes  image/jpeg
2026-03-05 20:48:35 | INFO    | app.blob_storage             | upload_blob OK: originals/587fd7cb495548c5af5b5c8d0894b01a.jpg
2026-03-05 20:48:35 | INFO    | app.blob_storage             | upload_blob: thumbnails/587fd7cb495548c5af5b5c8d0894b01a.jpg  13730 bytes  image/jpeg
2026-03-05 20:48:35 | INFO    | app.blob_storage             | upload_blob OK: thumbnails/587fd7cb495548c5af5b5c8d0894b01a.jpg
2026-03-05 20:48:35 | INFO    | app.vision                   | analyze_image — 935086 bytes
2026-03-05 20:48:38 | INFO    | app.vision                   | vectorize_image — 935086 bytes
2026-03-05 20:48:43 | INFO    | app.vision                   | vectorize_image OK (5269 ms) — 1024-d vector
2026-03-05 20:48:44 | INFO    | app.vision                   | analyze_image OK (9227 ms) — caption='a sign on a building', 6 tags, 0 objects
2026-03-05 20:48:44 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Blob upload  OK — original=https://movistar.blob.core.windows.net/originals/587fd7cb495548c5af5b5c8d0894b01…
2026-03-05 20:48:44 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Vision analysis OK — caption='a sign on a building', tags=['sky', 'outdoor', 'cloud', 'billboard', 'text', 'sign'], objects=[]
2026-03-05 20:48:44 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Image vector  OK — 1024-d
2026-03-05 20:48:44 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Generating OpenAI text embedding for: 'a sign on a building. Tags: sky, outdoor, cloud, billboard, text, sign'
2026-03-05 20:48:44 | INFO    | app.openai_embeddings        | embed_text — 'a sign on a building. Tags: sky, outdoor, cloud, billboard, text, sign'
2026-03-05 20:48:44 | INFO    | app.openai_embeddings        | embed_text OK (378 ms) — 3072-d vector
2026-03-05 20:48:44 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] Text vector   OK — 3072-d
2026-03-05 20:48:45 | INFO    | app.upload                   |   [sarah-mae-uhXFCCZ5Tp0-unsplash.jpg] ✓ Indexed OK (10884 ms total)
2026-03-05 20:48:46 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] id=37f7f1641b694fea897633fcc7326456  size=5775563 bytes  type=image/jpeg
2026-03-05 20:48:46 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Thumbnail OK — 7035 bytes, 6000x4000
2026-03-05 20:48:46 | INFO    | app.upload                   |   [nick-fewings-C2zhShTnl5I-unsplash.jpg] Starting parallel tasks (blob × 2, analyze, vectorize)…
2026-03-05 20:48:46 | INFO    | app.blob_storage             | upload_blob: originals/37f7f1641b694fea897633fcc7326456.jpg  5775563 bytes  image/jpeg
2026-03-05 20:48:46 | INFO    | app.blob_storage             | upload_blob OK: originals/37f7f1641b694fea897633fcc7326456.jpg
2026-03-05 20:48:46 | INFO    | app.blob_storage             | upload_blob: thumbnails/37f7f1641b694fea897633fcc7326456.jpg  7035 bytes  image/jpeg
2026-03-05 20:48:46 | INFO    | app.blob_storage             | upload_blob OK: thumbnails/37f7f1641b694fea897633fcc7326456.jpg
